"word","phonetic","definition","translation","pos","collins","oxford","tag","bnc","frq","exchange","example","example_translation"
"abandon","/əˈbændən/","v. to give up completely","v. 放弃；抛弃","v.","2","1","cet4","2312","4.2","0:abandons/1:abandoning/2:abandoned","He abandoned his plan to travel abroad.","他放弃了出国旅行的计划。"
"ability","/əˈbɪləti/","n. the capacity to do something","n. 能力；才能","n.","3","1","cet4","1987","4.5","0:abilities","She has the ability to solve complex problems.","她有解决复杂问题的能力。"
"abroad","/əˈbrɔːd/","adv. in or to a foreign country","adv. 在国外；到国外","adv.","3","0","cet4","2654","3.9","","He dreams of studying abroad.","他梦想着出国留学。"
"absent","/ˈæbsənt/","adj. not present in a place","adj. 缺席的；不在的","adj.","3","0","cet4","3456","3.4","","Tom was absent from school yesterday.","汤姆昨天没来上学。"
"absolute","/ˈæbsəluːt/","adj. total and complete","adj. 绝对的；完全的","adj.","3","0","cet4","3876","3.3","","I have absolute trust in her.","我完全信任她。"
"absorb","/əbˈzɔːrb/","v. to take in or soak up","v. 吸收；吸引","v.","3","0","cet4","4321","3","0:absorbs/1:absorbing/2:absorbed","Plants absorb water from the soil.","植物从土壤中吸收水分。"
"abstract","/ˈæbstrækt/","adj. existing in thought","adj. 抽象的；n. 摘要","adj.","3","1","cet4","2587","3.9","0:abstracts","The concept is too abstract to understand.","这个概念太抽象了，难以理解。"
"abundant","/əˈbʌndənt/","adj. existing in large quantities","adj. 丰富的；充裕的","adj.","3","0","cet4","6543","2.2","","The region has abundant natural resources.","该地区拥有丰富的自然资源。"
"abuse","/əˈbjuːz/","v. to use for wrong purpose","v. 滥用；虐待","v.","3","0","cet4","2134","4.1","0:abuses/1:abusing/2:abused","He was accused of abusing his power.","他被指控滥用职权。"
"academic","/ˌækəˈdemɪk/","adj. relating to education","adj. 学术的；学院的","adj.","4","1","cet4","1870","4.5","0:academics","She has excellent academic records.","她的学业成绩非常优秀。"
"accelerate","/əkˈseləreɪt/","v. to move more quickly","v. 加速；促进","v.","3","0","cet4","4723","3.1","0:accelerates/1:accelerating/2:accelerated","The car accelerated quickly.","汽车加速很快。"
